PHỤ LỤC E
Đặc tả danh mục đơn vị hành chính Ban hành kèm theo Công văn số 915/CTK-CSCL ngày 16 tháng 6 năm 2025 của Cục Thống kê
E.1. DANH MỤC VÀ MÃ SỐ CÁC ĐƠN VỊ HÀNH CHÍNH CẤP TỈNH

E.2. DANH MỤC VÀ MÃ SỐ CÁC ĐƠN VỊ HÀNH CHÍNH CẤP XÃ

E.3. CHUYỂN ĐỔI ĐƠN VỊ HÀNH CHÍNH SANG XSD
Chuyển đổi dữ liệu của đơn vị hành chính cấp Tỉnh và Xã sang định nghĩa SimpleType trong cấu trúc đặc tả bằng ngôn ngữ XSD


--- TABLE 1 ---
Stt	Mã số	Tên 34 tỉnh sau sáp nhập
1	01	Thành phố Hà Nội
2	04	Cao Bằng
3	08	Tuyên Quang
4	11	Điện Biên
5	12	Lai Châu
6	14	Sơn La
7	15	Lào Cai
8	19	Thái Nguyên
9	20	Lạng Sơn
10	22	Quảng Ninh
11	24	Bắc Ninh
12	25	Phú Thọ
13	31	Thành phố Hải Phòng
14	33	Hưng Yên
15	37	Ninh Bình
16	38	Thanh Hóa
17	40	Nghệ An
18	42	Hà Tĩnh
19	44	Quảng Trị
20	46	Thành phố Huế
21	48	Thành phố Đà Nẵng
22	51	Quảng Ngãi
23	52	Gia Lai
24	56	Khánh Hòa
25	66	Đắk Lắk
26	68	Lâm Đồng
27	75	Đồng Nai
28	79	Thành phố Hồ Chí Minh
29	80	Tây Ninh
30	82	Đồng Tháp
31	86	Vĩnh Long
32	91	An Giang
33	92	Thành phố Cần Thơ
34	96	Cà Mau

--- TABLE 2 ---
Stt	Mã số	Tên đơn vị hành chính	Tỉnh (thành phố)
		THÀNH PHỐ HÀ NỘI	
1	00070	Phường Hoàn Kiếm	Thành phố Hà Nội
2	00073	Phường Cửa Nam	Thành phố Hà Nội
3	00004	Phường Ba Đình	Thành phố Hà Nội
4	00008	Phường Ngọc Hà	Thành phố Hà Nội
5	00025	Phường Giảng Võ	Thành phố Hà Nội
6	00256	Phường Hai Bà Trưng	Thành phố Hà Nội
7	00283	Phường Vĩnh Tuy	Thành phố Hà Nội
8	00277	Phường Bạch Mai	Thành phố Hà Nội
9	00235	Phường Đống Đa	Thành phố Hà Nội
10	00226	Phường Kim Liên	Thành phố Hà Nội
11	00196	Phường Văn Miếu - Quốc Tử Giám	Thành phố Hà Nội
12	00187	Phường Láng	Thành phố Hà Nội
13	00190	Phường Ô Chợ Dừa	Thành phố Hà Nội
14	00097	Phường Hồng Hà	Thành phố Hà Nội
15	00328	Phường Lĩnh Nam	Thành phố Hà Nội
16	00319	Phường Hoàng Mai	Thành phố Hà Nội
17	00304	Phường Vĩnh Hưng	Thành phố Hà Nội
18	00313	Phường Tương Mai	Thành phố Hà Nội
19	00316	Phường Định Công	Thành phố Hà Nội
20	00337	Phường Hoàng Liệt	Thành phố Hà Nội
21	00331	Phường Yên Sở	Thành phố Hà Nội
22	00367	Phường Thanh Xuân	Thành phố Hà Nội
23	00364	Phường Khương Đình	Thành phố Hà Nội
24	00352	Phường Phương Liệt	Thành phố Hà Nội
25	00167	Phường Cầu Giấy	Thành phố Hà Nội
26	00160	Phường Nghĩa Đô	Thành phố Hà Nội
27	00175	Phường Yên Hòa	Thành phố Hà Nội
28	00103	Phường Tây Hồ	Thành phố Hà Nội
29	00091	Phường Phú Thượng	Thành phố Hà Nội
30	00613	Phường Tây Tựu	Thành phố Hà Nội
31	00619	Phường Phú Diễn	Thành phố Hà Nội
32	00611	Phường Xuân Đỉnh	Thành phố Hà Nội
33	00602	Phường Đông Ngạc	Thành phố Hà Nội
34	00598	Phường Thượng Cát	Thành phố Hà Nội
35	00592	Phường Từ Liêm	Thành phố Hà Nội
36	00622	Phường Xuân Phương	Thành phố Hà Nội
37	00634	Phường Tây Mỗ	Thành phố Hà Nội
38	00637	Phường Đại Mỗ	Thành phố Hà Nội
39	00148	Phường Long Biên	Thành phố Hà Nội
40	00130	Phường Bồ Đề	Thành phố Hà Nội
41	00127	Phường Việt Hưng	Thành phố Hà Nội
42	00136	Phường Phúc Lợi	Thành phố Hà Nội
43	09556	Phường Hà Đông	Thành phố Hà Nội
44	09886	Phường Dương Nội	Thành phố Hà Nội
45	09562	Phường Yên Nghĩa	Thành phố Hà Nội
46	09568	Phường Phú Lương	Thành phố Hà Nội
47	09552	Phường Kiến Hưng	Thành phố Hà Nội
48	00640	Xã Thanh Trì	Thành phố Hà Nội
49	00664	Xã Đại Thanh	Thành phố Hà Nội
50	00685	Xã Nam Phù	Thành phố Hà Nội
51	00679	Xã Ngọc Hồi	Thành phố Hà Nội
52	00646	Phường Thanh Liệt	Thành phố Hà Nội
53	10231	Xã Thượng Phúc	Thành phố Hà Nội
54	10183	Xã Thường Tín	Thành phố Hà Nội
55	10237	Xã Chương Dương	Thành phố Hà Nội
56	10210	Xã Hồng Vân	Thành phố Hà Nội
57	10273	Xã Phú Xuyên	Thành phố Hà Nội
58	10279	Xã Phượng Dực	Thành phố Hà Nội
59	10330	Xã Chuyên Mỹ	Thành phố Hà Nội
60	10333	Xã Đại Xuyên	Thành phố Hà Nội
61	10114	Xã Thanh Oai	Thành phố Hà Nội
62	10141	Xã Bình Minh	Thành phố Hà Nội
63	10144	Xã Tam Hưng	Thành phố Hà Nội
64	10180	Xã Dân Hòa	Thành phố Hà Nội
65	10354	Xã Vân Đình	Thành phố Hà Nội
66	10369	Xã Ứng Thiên	Thành phố Hà Nội
67	10417	Xã Hòa Xá	Thành phố Hà Nội
68	10402	Xã Ứng Hòa	Thành phố Hà Nội
69	10441	Xã Mỹ Đức	Thành phố Hà Nội
70	10465	Xã Hồng Sơn	Thành phố Hà Nội
71	10459	Xã Phúc Sơn	Thành phố Hà Nội
72	10489	Xã Hương Sơn	Thành phố Hà Nội
73	10015	Phường Chương Mỹ	Thành phố Hà Nội
74	10030	Xã Phú Nghĩa	Thành phố Hà Nội
75	10018	Xã Xuân Mai	Thành phố Hà Nội
76	10081	Xã Trần Phú	Thành phố Hà Nội
77	10108	Xã Hòa Phú	Thành phố Hà Nội
78	10084	Xã Quảng Bị	Thành phố Hà Nội
79	09661	Xã Minh Châu	Thành phố Hà Nội
80	09619	Xã Quảng Oai	Thành phố Hà Nội
81	09664	Xã Vật Lại	Thành phố Hà Nội
82	09634	Xã Cổ Đô	Thành phố Hà Nội
83	09676	Xã Bất Bạt	Thành phố Hà Nội
84	09694	Xã Suối Hai	Thành phố Hà Nội
85	09700	Xã Ba Vì	Thành phố Hà Nội
86	09706	Xã Yên Bài	Thành phố Hà Nội
87	09574	Phường Sơn Tây	Thành phố Hà Nội
88	09604	Phường Tùng Thiện	Thành phố Hà Nội
89	09616	Xã Đoài Phương	Thành phố Hà Nội
90	09715	Xã Phúc Thọ	Thành phố Hà Nội
91	09739	Xã Phúc Lộc	Thành phố Hà Nội
92	09772	Xã Hát Môn	Thành phố Hà Nội
93	09955	Xã Thạch Thất	Thành phố Hà Nội
94	10009	Xã Hạ Bằng	Thành phố Hà Nội
95	10006	Xã Tây Phương	Thành phố Hà Nội
96	09988	Xã Hòa Lạc	Thành phố Hà Nội
97	04936	Xã Yên Xuân	Thành phố Hà Nội
98	09895	Xã Quốc Oai	Thành phố Hà Nội
99	09931	Xã Hưng Đạo	Thành phố Hà Nội
100	09928	Xã Kiều Phú	Thành phố Hà Nội
101	09922	Xã Phú Cát	Thành phố Hà Nội
102	09832	Xã Hoài Đức	Thành phố Hà Nội
103	09838	Xã Dương Hòa	Thành phố Hà Nội
104	09859	Xã Sơn Đồng	Thành phố Hà Nội
105	09877	Xã An Khánh	Thành phố Hà Nội
106	09784	Xã Đan Phượng	Thành phố Hà Nội
107	09817	Xã Ô Diên	Thành phố Hà Nội
108	09793	Xã Liên Minh	Thành phố Hà Nội
109	00565	Xã Gia Lâm	Thành phố Hà Nội
110	00562	Xã Thuận An	Thành phố Hà Nội
111	00583	Xã Bát Tràng	Thành phố Hà Nội
112	00541	Xã Phù Đổng	Thành phố Hà Nội
113	00484	Xã Thư Lâm	Thành phố Hà Nội
114	00454	Xã Đông Anh	Thành phố Hà Nội
115	00466	Xã Phúc Thịnh	Thành phố Hà Nội
116	00493	Xã Thiên Lộc	Thành phố Hà Nội
117	00508	Xã Vĩnh Thanh	Thành phố Hà Nội
118	09022	Xã Mê Linh	Thành phố Hà Nội
119	08980	Xã Yên Lãng	Thành phố Hà Nội
120	08995	Xã Tiến Thắng	Thành phố Hà Nội
121	08974	Xã Quang Minh	Thành phố Hà Nội
122	00376	Xã Sóc Sơn	Thành phố Hà Nội
123	00424	Xã Đa Phúc	Thành phố Hà Nội
124	00433	Xã Nội Bài	Thành phố Hà Nội
125	00385	Xã Trung Giã	Thành phố Hà Nội
126	00382	Xã Kim Anh	Thành phố Hà Nội
		TỈNH CAO BẰNG	Tỉnh Cao Bằng
127	01273	Phường Thục Phán	Tỉnh Cao Bằng
128	01279	Phường Nùng Trí Cao	Tỉnh Cao Bằng
129	01288	Phường Tân Giang	Tỉnh Cao Bằng
130	01304	Xã Quảng Lâm	Tỉnh Cao Bằng
131	01297	Xã Nam Quang	Tỉnh Cao Bằng
132	01294	Xã Lý Bôn	Tỉnh Cao Bằng
133	01290	Xã Bảo Lâm	Tỉnh Cao Bằng
134	01318	Xã Yên Thổ	Tỉnh Cao Bằng
135	01360	Xã Sơn Lộ	Tỉnh Cao Bằng
136	01351	Xã Hưng Đạo	Tỉnh Cao Bằng
137	01321	Xã Bảo Lạc	Tỉnh Cao Bằng
138	01324	Xã Cốc Pàng	Tỉnh Cao Bằng
139	01327	Xã Cô Ba	Tỉnh Cao Bằng
140	01336	Xã Khánh Xuân	Tỉnh Cao Bằng
141	01339	Xã Xuân Trường	Tỉnh Cao Bằng
142	01354	Xã Huy Giáp	Tỉnh Cao Bằng
143	01738	Xã Ca Thành	Tỉnh Cao Bằng
144	01768	Xã Phan Thanh	Tỉnh Cao Bằng
145	01777	Xã Thành Công	Tỉnh Cao Bằng
146	01729	Xã Tĩnh Túc	Tỉnh Cao Bằng
147	01774	Xã Tam Kim	Tỉnh Cao Bằng
148	01726	Xã Nguyên Bình	Tỉnh Cao Bằng
149	01747	Xã Minh Tâm	Tỉnh Cao Bằng
150	01387	Xã Thanh Long	Tỉnh Cao Bằng
151	01366	Xã Cần Yên	Tỉnh Cao Bằng
152	01363	Xã Thông Nông	Tỉnh Cao Bằng
153	01392	Xã Trường Hà	Tỉnh Cao Bằng
154	01438	Xã Hà Quảng	Tỉnh Cao Bằng
155	01393	Xã Lũng Nặm	Tỉnh Cao Bằng
156	01414	Xã Tổng Cọt	Tỉnh Cao Bằng
157	01660	Xã Nam Tuấn	Tỉnh Cao Bằng
158	01654	Xã Hòa An	Tỉnh Cao Bằng
159	01708	Xã Bạch Đằng	Tỉnh Cao Bằng
160	01699	Xã Nguyễn Huệ	Tỉnh Cao Bằng
161	01795	Xã Minh Khai	Tỉnh Cao Bằng
162	01789	Xã Canh Tân	Tỉnh Cao Bằng
163	01792	Xã Kim Đồng	Tỉnh Cao Bằng
164	01807	Xã Thạch An	Tỉnh Cao Bằng
165	01786	Xã Đông Khê	Tỉnh Cao Bằng
166	01822	Xã Đức Long	Tỉnh Cao Bằng
167	01648	Xã Phục Hòa	Tỉnh Cao Bằng
168	01636	Xã Bế Văn Đàn	Tỉnh Cao Bằng
169	01594	Xã Độc Lập	Tỉnh Cao Bằng
170	01576	Xã Quảng Uyên	Tỉnh Cao Bằng
171	01618	Xã Hạnh Phúc	Tỉnh Cao Bằng
172	01456	Xã Quang Hán	Tỉnh Cao Bằng
173	01447	Xã Trà Lĩnh	Tỉnh Cao Bằng
174	01465	Xã Quang Trung	Tỉnh Cao Bằng
175	01525	Xã Đoài Dương	Tỉnh Cao Bằng
176	01477	Xã Trùng Khánh	Tỉnh Cao Bằng
177	01501	Xã Đàm Thuỷ	Tỉnh Cao Bằng
178	01489	Xã Đình Phong	Tỉnh Cao Bằng
179	01558	Xã Lý Quốc	Tỉnh Cao Bằng
180	01561	Xã Hạ Lang	Tỉnh Cao Bằng
181	01537	Xã Vinh Quý	Tỉnh Cao Bằng
182	01552	Xã Quang Long	Tỉnh Cao Bằng
		TỈNH TUYÊN QUANG	Tỉnh Tuyên Quang
183	02269	Xã Thượng Lâm	Tỉnh Tuyên Quang
184	02266	Xã Lâm Bình	Tỉnh Tuyên Quang
185	02302	Xã Minh Quang	Tỉnh Tuyên Quang
186	02296	Xã Bình An	Tỉnh Tuyên Quang
187	02245	Xã Côn Lôn	Tỉnh Tuyên Quang
188	02248	Xã Yên Hoa	Tỉnh Tuyên Quang
189	02239	Xã Thượng Nông	Tỉnh Tuyên Quang
190	02260	Xã Hồng Thái	Tỉnh Tuyên Quang
191	02221	Xã Nà Hang	Tỉnh Tuyên Quang
192	02308	Xã Tân Mỹ	Tỉnh Tuyên Quang
193	02317	Xã Yên Lập	Tỉnh Tuyên Quang
194	02320	Xã Tân An	Tỉnh Tuyên Quang
195	02287	Xã Chiêm Hoá	Tỉnh Tuyên Quang
196	02353	Xã Hoà An	Tỉnh Tuyên Quang
197	02332	Xã Kiên Đài	Tỉnh Tuyên Quang
198	02359	Xã Tri Phú	Tỉnh Tuyên Quang
199	02350	Xã Kim Bình	Tỉnh Tuyên Quang
200	02365	Xã Yên Nguyên	Tỉnh Tuyên Quang
201	02305	Xã Trung Hà	Tỉnh Tuyên Quang
202	02398	Xã Yên Phú	Tỉnh Tuyên Quang
203	02380	Xã Bạch Xa	Tỉnh Tuyên Quang
204	02392	Xã Phù Lưu	Tỉnh Tuyên Quang
205	02374	Xã Hàm Yên	Tỉnh Tuyên Quang
206	02404	Xã Bình Xa	Tỉnh Tuyên Quang
207	02407	Xã Thái Sơn	Tỉnh Tuyên Quang
208	02419	Xã Thái Hoà	Tỉnh Tuyên Quang
209	02425	Xã Hùng Đức	Tỉnh Tuyên Quang
210	02455	Xã Hùng Lợi	Tỉnh Tuyên Quang
211	02458	Xã Trung Sơn	Tỉnh Tuyên Quang
212	02494	Xã Thái Bình	Tỉnh Tuyên Quang
213	02470	Xã Tân Long	Tỉnh Tuyên Quang
214	02449	Xã Xuân Vân	Tỉnh Tuyên Quang
